price,monthly_payment,"Median household income (in 2022 dollars), 2018-2022",bedroom_number,property_type,Borough,can_afford
999999.0,6459.407960640754,,8.0,MULTI_FAMILY,Queens,0
229000.0,1479.205902192635,,1.0,CONDO,Queens,0
318000.0,2054.093785577545,,2.0,CONDO,Queens,0
430000.0,2777.5482006237244,,3.0,SINGLE_FAMILY,Queens,0
418888.0,2705.771187588072,,3.0,CONDO,Queens,0
769999.0,4973.742644028062,,5.0,SINGLE_FAMILY,Queens,0
245000.0,1582.5565329135175,,0.0,CONDO,Queens,0
599999.0,3875.642192618684,,5.0,SINGLE_FAMILY,Queens,0
345999.0,2234.9509299246697,,2.0,CONDO,Queens,0
279000.0,1802.1766231953934,,2.0,CONDO,Queens,0
264888.0,1711.0213668995748,,2.0,APARTMENT,Queens,0
349900.0,2260.149105577305,,6.0,SINGLE_FAMILY,Queens,0
264888.0,1711.0213668995748,,2.0,CONDO,Queens,0
479000.0,3094.0595072064284,,3.0,SINGLE_FAMILY,Queens,0
480000.0,3100.518921626484,,3.0,SINGLE_FAMILY,Queens,0
438000.0,2829.223515984166,,3.0,CONDO,Queens,0
848000.0,5477.583428206788,,3.0,MULTI_FAMILY,Queens,0
1449000.0,9359.691494659946,,15.0,MULTI_FAMILY,Queens,0
220000.0,1421.0711724121381,,2.0,CONDO,Queens,0
234888.0,1517.2389342979195,,1.0,CONDO,Queens,0
205000.0,1324.1799561113107,,1.0,CONDO,Queens,0
234888.0,1517.2389342979195,,1.0,APARTMENT,Queens,0
265000.0,1711.744821314621,,2.0,CONDO,Queens,0
1425000.0,9204.665548578625,,6.0,MULTI_FAMILY,Queens,0
289000.0,1866.770767395945,,2.0,CONDO,Queens,0
225000.0,1453.3682445124139,,1.0,CONDO,Queens,0
303000.0,1957.2025692767174,,2.0,CONDO,Queens,0
169990.0,1098.035857265179,,1.0,CONDO,Queens,0
248000.0,1601.934776173683,,1.0,CONDO,Queens,0
1499000.0,9682.662215662704,,8.0,MULTI_FAMILY,Queens,0
475000.0,3068.2218495262077,,1.0,CONDO,Queens,0
220000.0,1421.0711724121381,,1.0,CONDO,Queens,0
600000.0,3875.648652033104,,3.0,SINGLE_FAMILY,Queens,0
1288000.0,8319.725773031063,,6.0,MULTI_FAMILY,Queens,0
659999.0,4263.2070578219955,,3.0,SINGLE_FAMILY,Queens,0
329000.0,2125.147344198152,,3.0,SINGLE_FAMILY,Queens,0
930000.0,6007.255410651313,,5.0,MULTI_FAMILY,Queens,0
340000.0,2196.200902818759,,2.0,CONDO,Queens,0
209999.0,1356.4705687971664,,1.0,CONDO,Queens,0
159000.0,1027.0468927887725,,0.0,CONDO,Queens,0
789000.0,5096.477977423532,,6.0,MULTI_FAMILY,Queens,0
649000.0,4192.159958615808,,3.0,SINGLE_FAMILY,Queens,0
